National ID,BIC Code,Financial Institution Name,Branch Name,City,Branch Address,Zip Code,Location,Country
50106,LCKULT22,"Credit union ""Ebitum""",,Siauliai,Tilzes St 128,77160,,Lithuania
50108,LCKULT22,ARKU kredito unija,,Kaunas,Jonavos St 30,44262,,Lithuania
50110,LCKULT22,Panevezio credit union,,Panevezys,Topoliu Ave. 17,35169,,Lithuania
50111,LCKULT22,Centro credit union ,,Kaunas,M.K.Ciurlionio St 29,44356,,Lithuania
50112,LCKULT22,"Credit union ""Tikroji viltis""",,Naujoji Akmene,L.Petraviciaus Ave. 4A,85132,,Lithuania
50113,LCKULT22,"Credit union ""Germanto lobis""",,Telsiai,Sedos St 6,87112,,Lithuania
50115,LCKULT22,Sirvintu credit union,,Sirvintos,Vilniaus St 50,19118,,Lithuania
50118,LCKULT22,Vytauto Dodziojo credit union,,Kaisiadorys,Birutes St 4-2,56124,,Lithuania
50119,LCKULT22,Pakruojo ukininku credit union,,Pakruojis,Vytauto Didziojo St 47-3,83157,,Lithuania
50120,LCKULT22,"Credit union ""Vievio taupa""",,Elektrenai,Draugystes St 19-44,26117,Traku District,Lithuania
50122,LCKULT22,Kelmes credit union,,Kelme,S. Dariaus ir S. Gireno St 21A,86126,,Lithuania
50123,LCKULT22,"Credit union ""Prienu taupa""",,Prienai,Vytauto St 1A,59114,,Lithuania
50124,LCKULT22,Pasvalio credit union,,Pasvalys,Vytauto Didziojo Ave. 6/1,39143,,Lithuania
50125,LCKULT22,"Credit union ""DELTA""",,Kaunas,Parodos St 1-3,44214,,Lithuania
50127,LCKULT22,Kauno credit union,,Kaunas,K.Donelaicio St 62-301,44248,,Lithuania
50128,LCKULT22,Taurages credit union,,Taurage,S.Dariaus ir S.Gireno St 28,72250,,Lithuania
50130,LCKULT22,Anyksciu credit union,,Anyksciai,S.Dariaus ir S. Gireno St. 5-51,29116,,Lithuania
50131,LCKULT22,"""Achemos"" credit union",,Jonalaukis,Jonalaukis,55296,Jonavos District,Lithuania
50132,LCKULT22,"Credit union ""Jonavos zeme""",,Jonava,Kauno St 6,55176,,Lithuania
50133,LCKULT22,Jurbarko credit union,,Jurbarkas,S.Dariaus ir S.Gireno St 55-18,74183,,Lithuania
50134,LCKULT22,Ukmerges Ukininku credit union,,Ukmerge,Kauno St 16A,20114,,Lithuania
50135,LCKULT22,Kauno District credit union,,Vilkija,Cekiskes St 98,54221,Kauno District,Lithuania
50136,LCKULT22,Palangos credit union,,Palanga,Ganyklu St 6,127,,Lithuania
50138,LCKULT22,Kretingos credit union,,Kretinga,J.K.Chodkeviciaus St 10,97130,,Lithuania
50140,LCKULT22,Pagegiu credit union,,Pagegiai,Vilniaus St 36,99293,Silutes District,Lithuania
50142,LCKULT22,Grinkiskio credit union,,Grinkiskis,Tilto St 43,82388,Radviliskio District,Lithuania
50145,LCKULT22,Utenos credit union,,Utena,Ausros St 34-3,28146,,Lithuania
50146,LCKULT22,Mazeikiu credit union,,Mazeikiai,Vilniaus St 2,89217,,Lithuania
50149,LCKULT22,Druskininku credit union,,Druskininkai,M. K. Ciurlionio St. 111,66161,,Lithuania
50151,LCKULT22,Traku credit union,,Trakai,Vytauto St 2,10105,,Lithuania
50152,LCKULT22,Alytaus credit union,,Alytus,Dariaus ir Gireno St 4A-3,62137,,Lithuania
50153,LCKULT22,"Credit union ""Gargzdu taupa""",,Gargzdai,Kvietiniu St 11-6,96135,Klaipedos District,Lithuania
50154,LCKULT22,"Credit union ""Memelio taupomoji kasa""",,Klaipeda,Minijos St 127-2,93213,,Lithuania
50156,LCKULT22,Grigiskiu credit union,,Vilnius,Kovo 11-osios St 34-33,27112,,Lithuania
50158,LCKULT22,Varenos credit union,,Varena,J. Basanaviciaus St 40,65192,,Lithuania
50159,LCKULT22,Kedainiu krasto credit union,,Kedainiai,Josvainiu St 36,57275,,Lithuania
50163,LCKULT22,Klaipedos credit union,,Klaipeda,Rutu St 4 ,91208,,Lithuania
50165,LCKULT22,Seimos  credit union,,Vilnius,Konstitucijos Ave. 12,9308,,Lithuania
50166,LCKULT22," Credit union ""Neris""",,Vilnius,Jogailos St 4,1116,,Lithuania
50167,LCKULT22,Vilniaus credit union,,Vilnius,T. Narbuto St 5-1,8105,,Lithuania
50168,LCKULT22,"Credit union ""Magnus""",,Vilnius,Konstitucijos Ave. 15,9319,,Lithuania
10100,LIABLT2X,Bank of Lithuania,,Vilnius,Gedimino Ave. 6,1103,,Lithuania
10101,LIABLT2X,Bank of Lithuania,Bank of Lithuania Kaunas branch,Kaunas,Maironio St 25,44250,,Lithuania
10110,LIABLT2X,Bank of Lithuania,Payment Systems Department,Vilnius,Totoriu St 4,1121,,Lithuania
10900,LIABLT2X,Bank of Lithuania,Payment Systems Department,Vilnius,Totoriu St 4,1121,,Lithuania
51500,LTKULT21,LTL  credit union,,Vilnius,Sporto St.18,9238,,Lithuania
37300,MAABLT21,"Majestic Financial, UAB",,Vilnius,Mesiniu St 5,1133,,Lithuania
72300,MDBALT22,UAB Medicinos bankas,,Vilnius,Pamenkalnio St 40,1114,,Lithuania
35100,MIEGLT21,"Secure Nordic Payments" UAB,,Vilnius,Perkunkiemio St 2,12126,,Lithuania
31100,MNNELT21,"Maneuver LT, UAB",,Vilnius,Zalgirio St. 88,9303,,Lithuania
35800,MOIULT21,"Bruc Bond, UAB",,Vilnius,Jogailos St 4,1116,,Lithuania
30500,MOTOLT21,"Foxpay, UAB ",,Vilnius,Eiguliu St 14,3150,,Lithuania
21700,MULTLT2X,"AS ""Industra Bank"" Lietuvos Branch",,Vilnius,Kestucio St 51,8124,,Lithuania
30800,NEUALT21,NexPay UAB,,Kaunas,Kestucio St 91-11,44299,,Lithuania
34600,NIKULT22,Nikulipe UAB ,,Vilnius,Konstitucijos Ave 21B,8130,,Lithuania
21500,OKOYLT2X,"OP Corporate Bank plc" Lietuvos Branch,,Vilnius,Konstitucijos Ave 7,9308,,Lithuania
33800,OPTULT22,"Opal Transfer EU, UAB",,Vilnius,Konstitucijos Ave 8,8130,,Lithuania
38700,PAEOLT21,"UAB ""PanPay Europe""",,Vilnius,Nidos St 1-80,6293,,Lithuania
34300,PAUALT22,UAB Paystra,,Vilnius,Vilniaus St. 31,1402,,Lithuania
31400,PCTULT21,PCS Transfer UAB,,Vilnius,Lvovo St 105A,8104,,Lithuania
30200,PEPGLT21,"Perlas Finance, UAB",,Vilnius,Olimpieciu St. 15-1,9237,,Lithuania
22600,PYYRLT22,"PayRay, UAB",,Vilnius,Lvovo St 25-702,9320,,Lithuania
70700,RETBLT21,"Revolut Bank, UAB",,Vilnius,Lvovo St 105A,8104,,Lithuania
39200,REVOGB21,Revolut Limited,,London,"Level 39, 1 Canada Square",E14 5AB,,United Kingdom
32500,REVOLT21,Revolut Payments UAB,,Vilnius,LvovoSt. 105A,8104,,Lithuania
37101,SEEOLT21,"UAB  ""Seven Seas Europe""",,Vilnius,Mesiniu St 5,1133,,Lithuania
37100,SESOLT21,"UAB  ""Seven Seas Europe""",,Vilnius,Olimpieciu St. 1-5,9235,,Lithuania
31700,SHFRLT21,"UAB  ""Shift Financial Services LT""  ",,Vilnius,Jogailos St 9,1116,,Lithuania
74000,SMPOLT22,Danske Bank A/S Lietuvos Branch,,Vilnius,Saltoniskiu St 2,8500,,Lithuania
33200,SONCLT21,"UAB ""SONECT Europe""",,Vilnius,Vokieciu St 28-16,1130,,Lithuania
91002,STEKLT21,Macte Invest FM AB,,Vilnius,Gedimino Ave 20,1103,,Lithuania
30600,STUALT21,"SatchelPay, UAB",,Vilnius,Jogailos St. 4,1116,,Lithuania
33700,SUPULT22,"SumUp EU Payments, UAB",,Vilnius,Upes St 23,8128,,Lithuania
31801,TBFULT31,"TBF Finance, UAB",,Vilnius,Konstitucijos Ave 21A,8130,,Lithuania
31800,TBFULT21,"TBF Finance, UAB",,Vilnius,Konstitucijos Ave 21A,8131,,Lithuania
31900,TEUALT22,"TeslaPay, UAB",,Vilnius,Dariaus ir Gireno St. 42A,2189,,Lithuania
39700,TPROLV22,SIA Transact Pro,,Riga,Gustava Zemgala st. 76,1039,,Latvia
36900,TRFBLT21,TRUSTCOM FINANCIAL UAB,,Vilnius,"Jogailos St 4, Vilnius",1116,,Lithuania
32400,TRLULT21,TransferGo Lithuania UAB,,Vilnius,"Palangos St 4, 4-th floor",1402,,Lithuania
37800,TRYULT21,Transactive Systems UAB,,Vilnius,Jogailos St 9,1103,,Lithuania
35400,UAAMLT21,"UAB ""Argentum mobile""",,Vilnius,Tuskulenu St 39,9219,,Lithuania
31000,UACOLT21,UAB Contabilita,,Vilnius,A. Vivulskio St 7-5,3162,,Lithuania
36600,UADELT21,UAB "deVere E-Money",,Vilnius,J. Balcikonio St 9,8314,,Lithuania
31500,UADRLT21,"UAB ""Drauskaita""",,Vilnius,Seimyniskiu St. 21,9236,,Lithuania
35900,UAINLT21,UAB NIUM EU,,Vilnius,Mesiniu St 5,1133,,Lithuania
36000,UAMMLT21,"UAB ""Mobilieji mokejimai""",,Vilnius,Lvovo St 25-104,9320,,Lithuania
35200,UANFLT21,"""Neo Finance"", UAB",,Vilnius,Verkiu St 25C-1,8223,,Lithuania
34500,UANILT22,UAB Nandi Finance,,Vilnius,A.Tumeno St 4,1109,,Lithuania
35500,UAPELT21,"UAB ""Pervesk""",,Siauliai,Ausros  St 68,76233,,Lithuania
35501,UAPELT21BKO,UAB "Pervesk",,Vilnius,Traku St 12,1132,,Lithuania
36700,UAPLLT21,UAB Pyrros Lithuania,,Vilnius,Mesiniu St 5,1133,,Lithuania
32200,UAPPLT21,UAB Phoenix Payments,,Vilnius,Mesiniu St 5,1133,,Lithuania
31200,UAPULT22,UAB Paytend Europe ,,Vilnius,Mesiniu St 5,1133,,Lithuania
35300,UAPYLT21,"UAB ""Alternative Payments""",,Vilnius,Mesiniu St 5,1133,,Lithuania
33300,UASILT22,"UAB ""Silvergate LT""",,Vilnius,J. Basanaviciaus St 15,3108,,Lithuania
34800,UATULT22,UAB Travel Union,,Vilnius,Sauletekio St. 17,1224,,Lithuania
33400,UAUPLT22,"UAB ""Uplata EU""",,Vilnius,Zygimanto Liauksmino St 3A-4,1101,,Lithuania
30900,UAWALT21,UAB "Walletto",,Vilnius,Mesiniu St 5,1133,,Lithuania
91001,UFOSLT22,"Orion Securities, UAB FMI",,Vilnius,A. Tumeno St 4,1109,,Lithuania
39600,UFPOLT21,Contis Financial Services Ltd,,Vilnius,MenulioSt 11-101,4326,,Lithuania
35600,UFUNLT22,UAB Finolita Unio ,,Vilnius,Lvovo St 25,9320,,Lithuania
32300,UIPULT21,"International Payment Union, UAB ",,Vilnius,Mesiniu St. 5,1133,,Lithuania
38900,UNECLT2V,UAB SAFU.COM,,Vilnius,Petro Babickio St 22C,11311,,Lithuania
32600,URFSLT21,Rebellion Fintech Services UAB,,Vilnius,Lvovo St 25-701,9320,,Lithuania
33900,USPELT22,UAB Simplex Payment Services,,Vilnius,Antakalnio St 17,10312,,Lithuania
30700,VAUALT21,"Valyuz, UAB",,Vilnius,Vilniaus St 31/1,8222,,Lithuania
37500,VEPALT21,"Verified Payments, UAB",,Vilnius,Gedimino ave 20,1103,,Lithuania
50800,VIKULT21,Vilniaus  credit union,,Vilnius,Ulonu St 5,8240,,Lithuania
35700,VIPULT21,"Via Payments, UAB",,Vilnius,Vilkpedes St 22,3151,,Lithuania
31600,VPLALT21,Verse Payments Lithuania UAB,,Vilnius,Vilniaus St 31/1,1402,,Lithuania
51900,VRKULT21,Rato credit union,,Vilnius,Vilniaus St 9,1102,,Lithuania
50160,VRKULT21,Rato credit union,,Vilnius,Vilniaus St 10,1102,,Lithuania
33100,VAAALT21,ValorPay UAB,,Vilnius,Lvovo St 25-104,9320,,Lithuania
32000,WAUALT21,Wallter UAB,,Vilnius,Lvovo St 25-104,9320,,Lithuania
33000,WIUALT22,"Wittix, UAB",,Vilnius,Lvovo St 25-104,9320,,Lithuania
